Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual,Pax_weekday,Pax_norm_weekday,Pax_sch_hol_weekday,Pax_Saturday,Pax_Sunday,Pax_pre_AM_peak,Pax_AM_peak,Pax_interpeak,Pax_PM_peak,Pax_PM_late
FY18-19,19880,Pakenham,-38.08061397,145.4863791,489250,1600,1750,1200,850,600,400,600,350,250,50
FY18-19,19881,Officer,-38.06614572,145.4109872,122900,450,500,250,100,50,100,250,50,100,50
FY18-19,19882,Beaconsfield,-38.05083135,145.3660737,273350,1000,1100,600,200,150,300,500,100,200,50
FY18-19,19883,Berwick,-38.04040829,145.3457261,864800,3150,3400,2100,900,600,800,1350,600,600,100
FY18-19,19884,Narre Warren,-38.02780932,145.3039694,658700,2300,2450,1750,900,600,500,1100,450,300,100
FY18-19,19885,Hallam,-38.01774038,145.2697768,522450,1850,2000,1350,600,400,450,850,350,300,50
FY18-19,19886,Cranbourne,-38.09953731,145.280599,817750,2800,3000,2100,1150,800,800,1300,550,250,50
FY18-19,19887,Merinda Park,-38.07900048,145.2635114,306950,1100,1200,750,300,250,250,650,150,50,50
FY18-19,19888,Dandenong,-37.98996792,145.2097254,2165200,7200,7350,6500,3800,2750,550,1950,1850,2500,450
FY18-19,19889,Yarraman,-37.97825454,145.1916003,302050,1050,1100,900,450,300,150,500,250,150,50
FY18-19,19890,Noble Park,-37.96723193,145.1769357,929900,3150,3300,2450,1500,1100,400,1300,800,700,150
FY18-19,19891,Sandown Park,-37.95650457,145.1628259,537400,1900,2000,1500,600,450,250,1250,350,150,50
FY18-19,19892,East Camberwell,-37.82589419,145.0681902,260350,950,1050,550,300,200,50,400,200,400,50
FY18-19,19893,Canterbury,-37.82448518,145.0812242,374650,1300,1350,1050,550,400,100,650,250,350,50
FY18-19,19894,Chatham,-37.82429952,145.0886479,246350,850,900,700,350,250,50,500,150,150,50
FY18-19,19895,Surrey Hills,-37.82414805,145.0987747,725200,2500,2600,2150,1050,750,250,1550,350,400,50
FY18-19,19896,Mont Albert,-37.81942655,145.1055304,260850,900,900,750,450,300,50,550,200,100,50
FY18-19,19897,Laburnum,-37.82078023,145.1407027,414700,1400,1500,1050,600,450,100,750,250,350,50
FY18-19,19898,Blackburn,-37.82007075,145.1500135,1484400,5050,5250,4350,2200,1700,400,2700,950,1000,150
FY18-19,19899,Nunawading,-37.82060317,145.1748917,1148000,3900,4000,3400,1750,1450,350,2050,750,700,150
FY18-19,19900,Mitcham,-37.81800987,145.1919735,1241550,4300,4450,3700,1700,1250,550,2400,650,700,100
FY18-19,19901,Heatherdale,-37.81889537,145.2127872,605900,2150,2250,1850,650,500,350,1350,300,250,50
FY18-19,19902,Ringwood,-37.81588648,145.2289685,1871350,5800,5900,5300,4200,3400,450,2000,1400,1600,400
FY18-19,19903,Auburn,-37.82239831,145.0458437,744050,2500,2600,2100,1250,900,100,1200,550,650,100
